model,scenario,accuracy,precision,recall,f1,roc_auc,true_negative,false_positive,false_negative,true_positive
csic_rf,clean,0.79,0.25663716814159293,0.58,0.3558282208588957,0.6836666666666666,366,84,21,29
csic_iso,clean,0.104,0.10040160642570281,1.0,0.18248175182481752,0.7644,2,448,0,50
robust_rf,clean,0.954,0.8857142857142857,0.62,0.7294117647058823,0.8275555555555555,446,4,19,31
robust_iso,clean,0.922,0.6,0.66,0.6285714285714286,0.8491111111111111,428,22,17,33
csic_rf,noisy,0.75,0.1951219512195122,0.48,0.2774566473988439,0.6203777777777778,351,99,26,24
csic_iso,noisy,0.1,0.1,1.0,0.18181818181818182,0.7055111111111111,0,450,0,50
robust_rf,noisy,0.94,0.7631578947368421,0.58,0.6590909090909091,0.9086222222222222,441,9,21,29
robust_iso,noisy,0.88,0.4264705882352941,0.58,0.4915254237288136,0.8150666666666666,411,39,21,29
csic_rf,gradual_attacks,0.65,0.168141592920354,0.19,0.1784037558685446,0.41618750000000004,306,94,81,19
csic_iso,gradual_attacks,0.2,0.2,1.0,0.3333333333333333,0.713675,0,400,0,100
robust_rf,gradual_attacks,0.988,0.9895833333333334,0.95,0.9693877551020408,0.9996,399,1,5,95
robust_iso,gradual_attacks,0.962,0.8857142857142857,0.93,0.9073170731707317,0.9892749999999999,388,12,7,93
csic_rf,adversarial,0.682,0.2601626016260163,0.32,0.28699551569506726,0.5997874999999999,309,91,68,32
csic_iso,adversarial,0.2,0.2,1.0,0.3333333333333333,0.590875,0,400,0,100
robust_rf,adversarial,0.804,1.0,0.02,0.0392156862745098,0.6363,400,0,98,2
robust_iso,adversarial,0.776,0.2692307692307692,0.07,0.1111111111111111,0.60135,381,19,93,7
csic_rf,weak_signals,0.764,0.4383561643835616,0.64,0.5203252032520326,0.8171125,318,82,36,64
csic_iso,weak_signals,0.2,0.2,1.0,0.3333333333333333,0.8098500000000001,0,400,0,100
robust_rf,weak_signals,0.818,0.7647058823529411,0.13,0.2222222222222222,0.8444,396,4,87,13
robust_iso,weak_signals,0.808,0.5526315789473685,0.21,0.30434782608695654,0.778825,383,17,79,21
